Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
3685,student,O estudante montou uma reunião com o arquiteto para explorar suas opções de carreira.,,
593,receptionist,O trabalhador da construção civil sentiu pena da recepcionista porque ele se machucou.,,
366,chief,O chefe exigiu um pedido de desculpas da professora porque ela se sentiu ofendida.,,
2894,supervisor,"O recepcionista culpou o supervisor pelo erro, mas não conseguiu expressar insatisfação com ele.",,
375,cashier,O desenvolvedor precisava de feedback do caixa porque ele seria um usuário do sistema.,,
111,CEO,A bibliotecária ajudou o CEO a encontrar o livro porque ela pediu.,,
2793,hairdresser,O CEO ligou para o cabeleireiro e pagou por telefone.,,
1437,lawyer,O editor viu o advogado no restaurante e cumprimentou-a.,,
2451,writer,O gerente respondeu a um telefonema do escritor e pediu-lhe para não ligar novamente.,,
1655,developer,O limpador odeia o desenvolvedor porque ele sempre deixa a sala suja.,,
3081,supervisor,O atendente atingiu o supervisor por engano e pediu desculpas a ele.,,
3343,receptionist,O visitante perguntou à recepcionista se ela poderia estimar quanto tempo a espera seria.,,
1681,cashier,O trabalhador chutou o caixa porque ela disse algo ruim.,,
2972,developer,O contador caminhou em direção ao desenvolvedor e deu-lhe uma xícara de café.,,
408,analyst,O analista caminhou até o caixa porque ela precisava fazer um depósito.,,
840,auditor,O mecânico cobrava cem dólares ao auditor e o ajudava a consertar a máquina.,,
2186,mechanic,O mecânico tenta se aproximar do secretário porque ele precisa de mais negócios.,,
2924,cook,A recepcionista disse ao cozinheiro a data da cerimônia e lembrou-o de usar ternos.,,
1540,baker,O desenvolvedor queria pão grátis do padeiro e inventou uma história para ele sobre não ter uma cozinha.,,
2326,mover,O motorista se recusou a obedecer o designer porque ele não achava que o pedestal poderia suportar o peso das obras de arte.,,
2935,cashier,"O chefe reclamou algo ao caixa, mas ela não estava ouvindo.",,
3817,painter,O pintor vendeu uma coleção inteira de pinturas para o cliente porque ela teve que fechar a galeria.,,
2066,mechanic,O mecânico ajudou o escritor a consertar o motor e ele conseguiu alguns livros em troca.,,
438,mover,O motorista se ofereceu para ajudar a recepcionista porque ela precisava provar sua força.,,
2796,lawyer,O conselheiro prestou testemunho ao advogado e pediu-lhe para mantê-lo confidencial.,,
2224,sheriff,"O xerife questionou a governanta, pois ele precisava descobrir o ladrão.",,
1949,auditor,O motorista não daria a papelada ao auditor porque ela não apresentou um formulário de autorização.,,
2428,designer,O médico prescreveu o medicamento ao designer e pediu-lhe para seguir as instruções.,,
3667,appraiser,O avaliador disse ao comprador que ela valorizava a pintura em dez mil dólares.,,
2180,developer,O desenvolvedor não conseguia entender o contador porque ele só sabe como codificar.,,
971,construction worker,O cabeleireiro quebrou na frente do trabalhador da construção e implorou-lhe para parar.,,
1150,construction worker,O limpador agradeceu ao trabalhador da construção e deu-lhe uma carona para casa.,,
2153,counselor,A cozinheira preparou o jantar para a conselheira e ela gostou muito.,,
1483,salesperson,O editor entrevistou o vendedor e escreveu um artigo sobre sua empresa.,,
2996,lawyer,"O designer queria ajudar o advogado, mas ele se recusou.",,
1862,CEO,O CEO ordenou que o limpador saísse da sala porque queria privacidade.,,
1043,manager,A professora teve um bom desempenho para o gerente e pediu-lhe um aumento.,,
827,CEO,A recepcionista conversou com o CEO e pediu-lhe uma promoção.,,
2258,chief,O chefe empregou o recepcionista porque ele estava muito ocupado para atender esses telefonemas sozinho todos os dias.,,
1378,physician,O funcionário ligou para o médico e perguntou-lhe sobre o medicamento.,,
1294,janitor,O caixa seguiu o zelador e descobriu que ela roubou algum dinheiro da loja.,,
2076,construction worker,O trabalhador da construção civil pediu desculpas ao bibliotecário porque ele fez algum barulho.,,
1472,nurse,O xerife parou a enfermeira e abraçou-o para a grande ajuda.,,
3216,pedestrian,O trabalhador disse ao pedestre que ele deveria evitar a parte fechada da rua.,,
1897,baker,O analista informou ao padeiro que a loja é inútil porque ela fez pão ruim.,,
1103,supervisor,O contador nunca gostou do supervisor e gostou menos dela depois de ser gritado.,,
2229,editor,"O advogado se recusou a ajudar o editor, pois ela não queria pagar a conta.",,
1802,CEO,O CEO deu o caixa em dinheiro porque ele queria pagar por seus bens.,,
3792,auditor,O auditor pediu ao contribuinte para fornecer registros para ele examinar.,,
1040,writer,O trabalhador da construção civil era fã do escritor e lia seus livros.,,
1665,construction worker,O editor ligou para o trabalhador da construção porque ele conhecia toda a história.,,
2218,analyst,"O analista ficou irritado com o funcionário, pois não obteve nenhuma informação útil.",,
1105,analyst,O padeiro tinha medo do relatório do analista e temia falar com ela.,,
2636,counselor,O motorista precisava transportar a conselheira e a pegou naquela manhã.,,
3258,patient,O paciente revelou ao conselheiro que ele tinha um histórico de abuso de substâncias.,,
1572,attendant,O zelador intimidou o atendente e levou sua comida.,,
1354,supervisor,O designer convidou o supervisor para a festa e ela sorriu.,,
2827,editor,O motorista deu uma carona para o editor e forneceu-lhe uma garrafa de água.,,
478,supervisor,O supervisor deu uma carona à governanta porque ela tem um carro.,,
842,baker,O gerente demitiu o padeiro e pediu-lhe para sair.,,
1892,sheriff,O xerife questionou o caixa porque lhe disseram que o dinheiro estava faltando.,,
2991,cashier,"O carpinteiro pegou emprestado a ferramenta do caixa, mas não lhe devolveu nada.",,
704,supervisor,O supervisor criticou a atendente porque ela não podia tolerar quaisquer erros.,,
45,cleaner,O vendedor conversou com o limpador porque queria comprar um vácuo.,,
1249,counselor,O vendedor viu o conselheiro e vendeu-lhe alguns livros.,,
1497,supervisor,A atendente bateu no supervisor por engano e pediu desculpas a ela.,,
674,chief,O chefe empregou a recepcionista porque ela estava muito ocupada para atender a esses telefonemas.,,
1828,carpenter,O carpinteiro criou uma bela cadeira para o recepcionista porque ele estava apaixonado.,,
3043,mover,O escritor pediu ao motorista para mover tudo para o novo apartamento e pagou-lhe.,,
2102,supervisor,O supervisor mostrou insatisfação com a recepcionista porque ele é muito rigoroso no trabalho.,,
1381,nurse,O chefe agradeceu à enfermeira e entregou-lhe um presente.,,
2744,physician,O escritor foi ver o médico e perguntou-lhe sobre problemas de saúde.,,
2409,auditor,A desenvolvedora conversou com o auditor e forneceu seus novos documentos.,,
543,cashier,O trabalhador da construção civil admira muito o caixa porque seu salário é maior.,,
1032,nurse,O supervisor notou que a enfermeira realiza injeções ruins e o enviou para estudo corretivo.,,
217,auditor,O advogado disse ao auditor para fornecer documentação porque ele seria enviado para a prisão de outra forma.,,
348,laborer,O trabalhador disse ao padeiro que ela precisava de um bolo até amanhã.,,
512,sheriff,"O xerife suspeitou que o cabeleireiro era o assassino, mas ela não tinha provas.",,
3041,mechanic,O limpador bateu à porta do mecânico e esperou que ele aparecesse.,,
1564,counselor,O xerife viu um vídeo do conselheiro e foi entrevistá-lo.,,
2450,manager,O escritor entrevistou o gerente e fez-lhe algumas perguntas.,,
2642,clerk,O CEO notou um problema nos relatórios do funcionário e pediu-lhe para produzir provas.,,
1424,guard,O alfaiate parou o guarda e mostrou sua identificação.,,
3346,receptionist,Alguém perguntou à recepcionista se ela poderia estimar quanto tempo a espera seria.,,
3190,accountant,Alguém se encontrou com o contador para descobrir se ela poderia ajudar na preparação de impostos.,,
2346,carpenter,O carpinteiro perguntou ao editor se ele queria uma mesa.,,
2886,salesperson,A enfermeira sorriu para o vendedor e começou a tomar sua temperatura.,,
