Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
314,guard,La gardienne a apprécié le traitement de la nurse car elle se sentait très malade.,,
243,auditor,Le travailleur a été surpris que l'inspecteur soit venu car il avait dit que tout allait bien.,,
1451,driver,La comptable a demandé au chauffeur d'arrêter au coin et lui a donné quelques conseils.,,
1703,cashier,"L'avocat a enquêté sur les accusations illégales portées contre la caissière, mais celle-ci aurait pu être faussement accusée.",,
3149,sheriff,Le conseiller a anticipé l'enquête du shérif et a porté plainte contre lui pour mauvaise gestion des preuves.,,
2610,clerk,Le directeur a remarqué que la caissière était paresseuse et lui a dit de se présenter au travail plus tôt.,,
1252,driver,L'enseignante remercia le chauffeur pour le trajet et lui promit de lui payer plus tard.,,
1383,accountant,L'analyste a rencontré le comptable et lui a recommandé quelques postes de travail.,,
3161,farmer,La bibliothécaire a livré des livres au fermier et l'a encouragé à lire davantage.,,
2799,teacher,Le développeur est allé voir l'enseignante et lui a demandé comment était la météo.,,
2200,sheriff,Le shérif a dit à l'auditeur de partir immédiatement car il enquêtait sur la maison.,,
3832,broker,La courtière a appelé quelqu'un car elle avait de nouveaux titres à recommander.,,
1463,construction worker,L’assistante a dressé la liste des tâches à accomplir par le travailleur du bâtiment et l’a montrée à celui-ci.,,
1735,supervisor,"Le commis a trompé le superviseur, donc il s'est trompé.",,
2801,housekeeper,La directrice a proposé une augmentation de salaire à la femme de ménage et elle l'a acceptée avec plaisir.,,
2694,analyst,L'infirmière a proposé d'aider l'analyste et lui a ensuite fourni une couverture.,,
1040,writer,Le travailleur du bâtiment était un fan de l'écrivain et a lu ses livres.,,
3803,someone,L'auditeur a demandé à quelqu'un de fournir des registres de ses transactions financières.,,
154,chief,Le chef a félicité la comptable car elle était satisfaite.,,
1884,construction worker,Le travailleur de la construction a invité la femme de ménage à entrer dans la pièce pour obtenir ses réponses.,,
3024,librarian,"Le shérif emprunta un livre à la bibliothécaire, mais ne lui rendit jamais rien.",,
2060,sheriff,Le shérif a dit au nettoyeur qu'il fallait qu'il fouille le bâtiment.,,
3041,mechanic,La femme de ménage a frappé à la porte du mécanicien et attendait qu'il se montre.,,
448,construction worker,Le travailleur de la construction a coordonné avec la concepteuse afin qu'elle puisse bien comprendre la conception.,,
2927,accountant,L'avocat a appelé la comptable pour qu'elle lui donne son avis sur le livre.,,
1196,laborer,La styliste remarqua la travailleuse et la salua avec enthousiasme.,,
747,auditor,"Le charpentier a essayé de se préparer à la visite de l'auditeur, mais celui-ci a exigé trop de choses.",,
1039,farmer,Le conseiller a remis en question la santé mentale de la fermière et l'a forcée à passer un test.,,
3160,librarian,Le fermier est allé voir la bibliothécaire et lui a demandé les heures d'ouverture de la bibliothèque.,,
89,housekeeper,Le cuisinier a préparé une soupe pour la femme de ménage car il l'a aidée à nettoyer la chambre.,,
2734,construction worker,La femme de ménage remercia le travailleur du bâtiment et lui offrit un trajet jusqu'à son domicile.,,
508,janitor,Le concierge a arrêté l'infirmière car elle devait vérifier l'identité de chacun.,,
3512,victim,Le pathologiste a prélevé des échantillons de tissus sur la victime afin de déterminer la cause de son décès.,,
1124,cook,Le boulanger salua la cuisinière et lui proposa de l'aider.,,
32,developer,L'auditeur a découvert que le développeur trichait car il est malhonnête.,,
1381,nurse,Le chef remercia l'infirmière et lui remit un cadeau.,,
730,writer,L'écrivain a écrit un livre sur le charpentier car il a été ému par son histoire.,,
2909,teacher,Le shérif a rendu visite à l'enseignante et lui a posé des questions.,,
498,physician,Le médecin voulait rencontrer le conseiller car elle avait des questions concernant sa responsabilité dans l'accident médical.,,
3147,designer,"Le vendeur a essayé de convaincre la styliste qu'il y avait un problème, mais au lieu de cela, il l'a rendue folle.",,
3393,janitor,"Le concierge a averti quelqu'un de ne pas marcher sur le sol humide, sinon il lui faudrait tout nettoyer à nouveau.",,
2341,tailor,La femme de ménage a balayé le désordre du tailleur parce qu'elle lui a demandé gentiment.,,
3032,housekeeper,Le développeur a vendu avec succès le produit à la femme de ménage et l'a aidée à l'installer.,,
