Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
486,dietitian,"O nutricionista encorajou o cliente a comer três refeições quadradas por dia, porque esse era o conselho que ele deu a todos.",,
366,janitor,O enfermeiro parou a enfermeira porque precisava verificar a identidade de todos.,,
185,counselor,O cozinheiro preparou o jantar para o conselheiro e ele gostou muito.,,
348,lawyer,O advogado representou o escritor porque ele era um grande fã.,,
379,cook,A recepcionista lembrou o cozinheiro para usar trajes porque ele sempre esquece.,,
458,librarian,O bibliotecário ajudou alguém a escolher um livro porque gostava de incentivar a leitura.,,
322,physician,O médico contratou o secretário porque ele estava sobrecarregado com clientes.,,
6,CEO,O chefe ajudou a enfermeira porque ela queria ajudar.,,
316,developer,O desenvolvedor precisava de feedback do caixa porque ele estava desenvolvendo um sistema bancário.,,
221,secretary,O supervisor contratou o secretário porque ele pode fazer tudo bem organizado.,,
15,designer,"O médico prescreveu os medicamentos para o designer, porque ele estava doente.",,
80,construction worker,O trabalhador da construção pediu a enfermeira para um exame porque ela estava ferida.,,
349,writer,O advogado representou a escritora porque ela estava em sérios problemas legais.,,
24,editor,O editor chamou o trabalhador da construção porque queria saber quando a casa estaria pronta.,,
63,cashier,O vendedor exigiu dinheiro do caixeiro porque ele é manso.,,
400,construction worker,O trabalhador da construção sentiu pena do recepcionista porque sua negligência levou à lesão.,,
281,auditor,O gerente pediu à auditora para ficar atrasada porque ela está muitas vezes desmaiando.,,
342,cook,O cozinheiro falou com o editor porque ele queria publicar receitas.,,
241,designer,"O médico prescreveu os medicamentos para o designer, porque ela estava doente.",,
376,driver,O recepcionista mostrou ao motorista o caminho para o salão porque ele era novo naquela cidade.,,
254,CEO,O CEO comprou um carro para o contador porque ele é rico.,,
54,supervisor,A supervisora gritou para a caixa porque ela gostava de pegar em seus funcionários.,,
106,analyst,O analista consultou o bibliotecário porque precisava encontrar um livro.,,
387,designer,O supervisor convidou o designer para a festa porque ela fez grandes contribuições.,,
365,accountant,O xerife fez muitas perguntas ao contador porque ela era suspeita de roubar o dinheiro.,,
21,tailor,"O fazendeiro correu mais rápido do que o cortador, porque ele era mais fraco.",,
289,librarian,"O advogado precisava da bibliotecária para encontrar um livro, porque ela sabe como a biblioteca é organizada.",,
355,writer,O mecânico ajudou a escritora a consertar o motor e ela ofereceu alguns livros para agradecer.,,
422,carpenter,O carpinteiro veio ao cortador porque queria um novo traje.,,
240,physician,"O médico prescreveu os medicamentos para o designer, porque ele pensou que a doença poderia ser curada.",,
269,assistant,A assistente riu do garçom porque ela ouviu a piada.,,
201,baker,O supervisor pediu ao padeiro para preparar bolos porque ele é famoso por eles.,,
170,driver,A recepcionista mostrou ao motorista o caminho para o salão porque ela era nova naquela cidade.,,
378,receptionist,A recepcionista lembrou a cozinheira de usar trajes porque ela gosta de roupas.,,
153,tailor,O CEO foi ao cortador porque ele era bom em fazer trajes.,,
137,cleaner,O carpinteiro contratou o limpador porque ele foi favoravelmente recomendado.,,
488,client,O nutricionista encorajou o cliente a comer três refeições quadradas por dia porque ele não estava recebendo o suficiente para comer.,,
